SimTime,SPAD_tester.Anode,SPAD_tester.OUT,SPAD_tester.OUT_$flow,SPAD_tester.VOP,SPAD_tester.VPHOTON,SPAD_tester.net018
1.53502E-07,1.111273604,-7.15E-05,0,31.2,0,0
1.53743E-07,1.039897891,-7.05E-05,0,31.2,0,0
1.53864E-07,1.005929383,-6.77E-05,0,31.2,0,0
1.54105E-07,0.941220012,-3.95E-05,0,31.2,0,0
1.54226E-07,0.91043023,4.71E-06,0,31.2,0,0
1.54468E-07,0.851787741,0.000286989,0,31.2,0,0
1.54589E-07,0.823890201,0.000641928,0,31.2,0,0
1.5483E-07,0.770766617,0.002387669,0,31.2,0,0
1.55313E-07,0.674414276,0.017503051,0,31.2,0,0
1.55555E-07,0.630901667,0.040166301,0,31.2,0,0
1.56038E-07,0.552440437,0.321763456,0,31.2,0,0
1.56405E-07,0.49994929,0.804796594,0,31.2,0,0
1.56534E-07,0.482649583,0.957886197,0,31.2,0,0
1.56792E-07,0.449573518,1.111920694,0,31.2,0,0
1.57036E-07,0.420271684,1.154058791,0,31.2,0,0
1.57318E-07,0.388665257,1.173678533,0,31.2,0,0
1.57626E-07,0.356843291,1.186242574,0,31.2,0,0
1.5814E-07,0.309329014,1.194298291,0,31.2,0,0
1.59167E-07,0.232000077,1.199448686,0,31.2,0,0
1.604E-07,0.164002681,1.199612207,0,31.2,0,0
1.62808E-07,0.081543001,1.20019305,0,31.2,0,0
1.65299E-07,0.039465846,1.199787139,0,31.2,0,0
1.69299E-07,0.018640511,1.19999569,0,31.2,0,0
1.73299E-07,0.005276502,1.199998329,0,31.2,0,0
1.75455E-07,0.002833547,1.199998431,0,31.2,0,0
1.77611E-07,0.001521667,1.199999125,0,31.2,0,0
1.81611E-07,0.000718606,1.199999028,0,31.2,0,0
1.84377E-07,0.000318057,1.199999091,0,31.2,0,0
1.87143E-07,0.000140805,1.199999124,0,31.2,0,0
1.87243E-07,0.000136981,1.199999123,0,31.2,0,0
1.87443E-07,0.000129737,1.199999124,0,31.2,0,0
1.87543E-07,0.000126213,1.199999125,0,31.2,0,0
1.87743E-07,0.000119539,1.199999126,0,31.2,0,0
1.88005E-07,0.000111103,1.199999128,0,31.2,0,0
1.88529E-07,9.60E-05,1.19999913,0,31.2,0,0
1.89578E-07,7.15E-05,1.199999134,0,31.2,0,0
1.91674E-07,3.91E-05,1.19999914,0,31.2,0,0
1.9451E-07,1.70E-05,1.199999143,0,31.2,0,0
1.97345E-07,7.41E-06,1.199999145,0,31.2,0,0
1.97445E-07,7.22E-06,1.199999145,0,31.2,0,0
1.97645E-07,6.84E-06,1.199999145,0,31.2,0,0
1.97745E-07,6.66E-06,1.199999145,0,31.2,0,0
1.97945E-07,6.31E-06,1.199999145,0,31.2,0,0
1.98207E-07,5.87E-06,1.199999145,0,31.2,0,0
1.98731E-07,5.09E-06,1.199999145,0,31.2,0,0
1.99366E-07,4.28E-06,1.199999146,0,31.2,0,0
0.0000002,3.60E-06,1.199999146,0,31.2,0,0
